date,snapshots,unique_queries,mentions,citations,mention_rate,citation_rate
2026-03-18,70,10,0,0,0,0
2026-04-29,244,49,1,0,0.004098360655737705,0
2026-05-06,119,32,0,0,0,0
2026-05-07,1426,220,7,0,0.004908835904628331,0
2026-05-11,245,49,0,0,0,0
2026-05-18,245,49,0,0,0,0
2026-05-25,460,32,2,2,0.004347826086956522,0.004347826086956522
2026-05-29,210,42,1,1,0.004761904761904762,0.004761904761904762
2026-05-30,210,42,0,0,0,0
2026-05-31,785,42,2,1,0.0025477707006369425,0.0012738853503184713
2026-06-01,1167,52,3,2,0.002570694087403599,0.001713796058269066
