createdAt,websiteId,date,connectionStatus,row_count,total_clicks,total_impressions,average_ctr,average_position
2026-05-08T04:42:49.827,cmorqbs9j001r5nr1h25vosp8,2026-05-08T00:00:00,connected,83,4,233,0.0171673819742489,3.16738197424893
2026-05-08T06:00:18.024,cmorqbs9j001r5nr1h25vosp8,2026-05-08T06:00:11.12,connected,83,4,233,0.0171673819742489,3.16738197424893
2026-05-08T12:00:18.485,cmorqbs9j001r5nr1h25vosp8,2026-05-08T12:00:11.288,connected,91,4,244,0.0163934426229508,3.67213114754098
2026-05-08T18:00:12.274,cmorqbs9j001r5nr1h25vosp8,2026-05-08T18:00:04.967,connected,91,4,244,0.0163934426229508,3.67213114754098
2026-05-09T00:00:22.629,cmorqbs9j001r5nr1h25vosp8,2026-05-09T00:00:15.497,connected,86,4,239,0.0167364016736402,3.64853556485356
2026-05-09T06:02:03.232,cmorqbs9j001r5nr1h25vosp8,2026-05-09T06:01:54.899,connected,86,4,239,0.0167364016736402,3.64853556485356
2026-05-09T12:00:17.306,cmorqbs9j001r5nr1h25vosp8,2026-05-09T12:00:10.189,connected,86,4,239,0.0167364016736402,3.64853556485356
2026-05-09T18:00:20.077,cmorqbs9j001r5nr1h25vosp8,2026-05-09T18:00:12.944,connected,86,4,239,0.0167364016736402,3.64853556485356
2026-05-10T00:00:14.069,cmorqbs9j001r5nr1h25vosp8,2026-05-10T00:00:07.126,connected,85,4,238,0.0168067226890756,3.29831932773109
2026-05-10T06:00:19.317,cmorqbs9j001r5nr1h25vosp8,2026-05-10T06:00:12.171,connected,85,4,238,0.0168067226890756,3.29831932773109
2026-05-10T12:00:10.633,cmorqbs9j001r5nr1h25vosp8,2026-05-10T12:00:03.651,connected,87,4,240,0.0166666666666667,3.28333333333333
2026-05-10T18:00:17.951,cmorqbs9j001r5nr1h25vosp8,2026-05-10T18:00:10.64,connected,87,4,240,0.0166666666666667,3.28333333333333
2026-05-11T00:00:16.714,cmorqbs9j001r5nr1h25vosp8,2026-05-11T00:00:09.841,connected,82,4,225,0.0177777777777778,3.43555555555556
2026-05-11T06:00:24.158,cmorqbs9j001r5nr1h25vosp8,2026-05-11T06:00:16.862,connected,83,4,226,0.0176991150442478,3.42920353982301
2026-05-11T12:00:08.651,cmorqbs9j001r5nr1h25vosp8,2026-05-11T12:00:01.581,connected,83,4,226,0.0176991150442478,3.42920353982301
2026-05-11T18:00:18.033,cmorqbs9j001r5nr1h25vosp8,2026-05-11T18:00:10.99,connected,83,4,226,0.0176991150442478,3.42920353982301
2026-05-12T00:00:12.851,cmorqbs9j001r5nr1h25vosp8,2026-05-12T00:00:04.834,connected,83,4,226,0.0176991150442478,3.42920353982301
2026-05-12T06:00:10.272,cmorqbs9j001r5nr1h25vosp8,2026-05-12T06:00:02.582,connected,87,4,236,0.0169491525423729,3.44915254237288
2026-05-12T12:00:17.709,cmorqbs9j001r5nr1h25vosp8,2026-05-12T12:00:09.113,connected,87,4,236,0.0169491525423729,3.44915254237288
2026-05-12T18:00:14.726,cmorqbs9j001r5nr1h25vosp8,2026-05-12T18:00:06.889,connected,87,4,236,0.0169491525423729,3.44915254237288
2026-05-18T20:33:25.568,cmorqbs9j001r5nr1h25vosp8,2026-05-18T20:33:16.935,connected,98,5,249,0.0200803212851406,3.714859437751
2026-05-22T06:17:04.753,cmorqbs9j001r5nr1h25vosp8,2026-05-22T06:15:18.457,connected,1422,4,2458,0.0016273393002441,45.4255492270138
2026-06-03T22:31:53.943,cmorqbs9j001r5nr1h25vosp8,2026-06-03T22:24:08.295,connected,2193,5,3832,0.00130480167014614,38.0334029227557
2026-06-03T22:32:42.222,cmorqbs9j001r5nr1h25vosp8,2026-06-03T22:24:19.338,connected,2193,5,3832,0.00130480167014614,38.0334029227557
